Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
 type 2	type 2,,bristol stool type 2,,false negative,,vt2 - toxin type,,waardenburg syndrome type 2,,sandhoff disease,,mycoplasma orale type 2 (2),,diabetes mellitus, noninsulin-dependent, 2 (disorder),,herpesvirus 2, bovine,,causalgia,,collagen type ii,,diabetes mellitus, non-insulin-dependent,,topoisomerase ii,,glycogen storage disease type ii,,herpesvirus 2, human,,histiocytosis, langerhans-cell,,human immunodeficiency virus 2 (hiv-2),,hsan type iv,,hypercholesterolemia, familial,,type ii mucolipidosis,,interferon type ii,,jaundice, chronic idiopathic,,langer-giedion syndrome,,herpesvirus 2, gallid,,multiple endocrine neoplasia type 2a
type 2	 type 2
bristol stool type 2	 type 2
false negative	 type 2
vt2 - toxin type	 type 2
waardenburg syndrome type 2	 type 2
sandhoff disease	 type 2
mycoplasma orale type 2 (2)	 type 2
diabetes mellitus, noninsulin-dependent, 2 (disorder)	 type 2
herpesvirus 2, bovine	 type 2
causalgia	 type 2
collagen type ii	 type 2
diabetes mellitus, non-insulin-dependent	 type 2
topoisomerase ii	 type 2
glycogen storage disease type ii	 type 2
herpesvirus 2, human	 type 2
histiocytosis, langerhans-cell	 type 2
human immunodeficiency virus 2 (hiv-2)	 type 2
hsan type iv	 type 2
hypercholesterolemia, familial	 type 2,,Familial hypercholesterolemia,,Familial hypercholesterolemias
type ii mucolipidosis	 type 2
interferon type ii	 type 2
jaundice, chronic idiopathic	 type 2
langer-giedion syndrome	 type 2
herpesvirus 2, gallid	 type 2
multiple endocrine neoplasia type 2a	 type 2
Neuroblastoma	neuroblastoma,,central neuroblastoma,,nci ctep sdc neuroblastoma sub-category terminology,,childhood neuroblastoma,,retinoblastoma,,olfactory neuroblastoma,,regional neuroblastoma,,disseminated neuroblastoma,,neuroblastoma recurrent,,stage, neuroblastoma,,screening for neuroblastoma,,neuroblastoma of brain,,adrenal neuroblastoma,,thoracic neuroblastoma,,pelvic neuroblastoma,,paraspinal neuroblastoma,,abdominothoracic neuroblastoma,,neuroblastoma cell,,neonatal neuroblastoma,,peripheral neuroblastoma,,stage 4s neuroblastoma,,mycn protein, human,,suspected neuroblastoma,,extracranial neuroblastoma,,mediastinal neuroblastoma
neuroblastoma	Neuroblastoma
central neuroblastoma	Neuroblastoma
nci ctep sdc neuroblastoma sub-category terminology	Neuroblastoma
childhood neuroblastoma	Neuroblastoma
retinoblastoma	Neuroblastoma
olfactory neuroblastoma	Neuroblastoma
regional neuroblastoma	Neuroblastoma
disseminated neuroblastoma	Neuroblastoma
neuroblastoma recurrent	Neuroblastoma
stage, neuroblastoma	Neuroblastoma
screening for neuroblastoma	Neuroblastoma
neuroblastoma of brain	Neuroblastoma
adrenal neuroblastoma	Neuroblastoma
thoracic neuroblastoma	Neuroblastoma
pelvic neuroblastoma	Neuroblastoma
paraspinal neuroblastoma	Neuroblastoma
abdominothoracic neuroblastoma	Neuroblastoma
neuroblastoma cell	Neuroblastoma
neonatal neuroblastoma	Neuroblastoma
peripheral neuroblastoma	Neuroblastoma
stage 4s neuroblastoma	Neuroblastoma
mycn protein, human	Neuroblastoma
suspected neuroblastoma	Neuroblastoma
extracranial neuroblastoma	Neuroblastoma
mediastinal neuroblastoma	Neuroblastoma
Charcot-Marie-Tooth disease, type 2	hereditary motor and sensory-neuropathy type ii,,charcot-marie-tooth disease, type 2j,,x-linked charcot-marie-tooth disease type 2,,autosomal dominant charcot-marie-tooth disease type 2 with giant axons,,autosomal dominant charcot-marie-tooth disease type 2 due to kif5a mutation,,autosomal dominant charcot-marie-tooth disease type 2u,,charcot-marie-tooth disease type 2 due to kinesin family member 5a mutation
hereditary motor and sensory-neuropathy type ii	Charcot-Marie-Tooth disease, type 2,,Charcot-Marie-Tooth disease,, autosomal recessive
charcot-marie-tooth disease, type 2j	Charcot-Marie-Tooth disease, type 2
x-linked charcot-marie-tooth disease type 2	Charcot-Marie-Tooth disease, type 2
autosomal dominant charcot-marie-tooth disease type 2 with giant axons	Charcot-Marie-Tooth disease, type 2
autosomal dominant charcot-marie-tooth disease type 2 due to kif5a mutation	Charcot-Marie-Tooth disease, type 2
autosomal dominant charcot-marie-tooth disease type 2u	Charcot-Marie-Tooth disease, type 2
charcot-marie-tooth disease type 2 due to kinesin family member 5a mutation	Charcot-Marie-Tooth disease, type 2
Charcot-Marie-Tooth disease	charcot-marie-tooth disease,,hereditary motor and sensory neuropathies,,charcot-marie-tooth disease, demyelinating, type 1f,,charcot-marie-tooth disease and deafness,,charcot-marie-tooth disease, type 1e,,charcot-marie-tooth disease, demyelinating, type 1e,,carrier of charcot-marie-tooth disease,,dejerine-sottas disease (disorder),,charcot-marie-tooth disease, type ia (disorder),,charcot-marie-tooth disease, type ib,,charcot-marie-tooth disease, type 1c,,hereditary motor and sensory-neuropathy type ii,,hereditary motor and sensory neuropathy with optic atrophy (disorder),,charcot-marie-tooth disease, x-linked, 1,,hereditary motor and sensory neuropathy type i,,cowchock syndrome,,charcot-marie-tooth disease, type 2d,,charcot-marie-tooth disease, type 4d,,charcot-marie-tooth disease, type 4b1,,charcot-marie-tooth disease, axonal, type 2b (disorder),,neuronopathy, distal hereditary motor, type iia,,charcot-marie-tooth disease, type 4h,,charcot-marie-tooth disease, axonal, type 2a2 (disorder),,charcot-marie-tooth disease, axonal, type 2l (disorder),,charcot-marie-tooth disease, axonal, type 2g
charcot-marie-tooth disease	Charcot-Marie-Tooth disease
hereditary motor and sensory neuropathies	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, demyelinating, type 1f	Charcot-Marie-Tooth disease
charcot-marie-tooth disease and deafness	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 1e	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, demyelinating, type 1e	Charcot-Marie-Tooth disease
carrier of charcot-marie-tooth disease	Charcot-Marie-Tooth disease
dejerine-sottas disease (disorder)	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type ia (disorder)	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type ib	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 1c	Charcot-Marie-Tooth disease
hereditary motor and sensory neuropathy with optic atrophy (disorder)	Charcot-Marie-Tooth disease,,Hereditary motor and sensory neuropathy with optic atrophy
charcot-marie-tooth disease, x-linked, 1	Charcot-Marie-Tooth disease
hereditary motor and sensory neuropathy type i	Charcot-Marie-Tooth disease
cowchock syndrome	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 2d	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 4d	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 4b1	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, axonal, type 2b (disorder)	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, type 4h	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, axonal, type 2a2 (disorder)	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, axonal, type 2l (disorder)	Charcot-Marie-Tooth disease
charcot-marie-tooth disease, axonal, type 2g	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease type 2A1	charcot-marie-tooth disease, axonal, type 2a1,,autosomal dominant charcot-marie-tooth disease type 2a1
charcot-marie-tooth disease, axonal, type 2a1	Charcot-Marie-Tooth disease type 2A1,,Charcot-Marie-Tooth disease, type 2A1
autosomal dominant charcot-marie-tooth disease type 2a1	Charcot-Marie-Tooth disease type 2A1,,Charcot-Marie-Tooth disease, type 2A1
Charcot-Marie-Tooth disease, type 2A1	charcot-marie-tooth disease, axonal, type 2a1,,autosomal dominant charcot-marie-tooth disease type 2a1
Peroxisome biogenesis disorder 13A	peroxisome biogenesis disorder 13a (zellweger)
peroxisome biogenesis disorder 13a (zellweger)	Peroxisome biogenesis disorder 13A
 complementation group K	peroxisome biogenesis disorder, complementation group k
peroxisome biogenesis disorder, complementation group k	 complementation group K,,Peroxisome biogenesis disorder, complementation group K
Peroxisome biogenesis disorder, complementation group K	peroxisome biogenesis disorder, complementation group k
 Dominant	dominant,,genes, dominant,,dominant drusen,,dominant types,,autosomal dominant inheritance,,dominant side,,dominant hand,,dominant attachment,,dominant inheritance,,dominant allele,,dominant-negative mutation,,dominant nodule.max.dimension,,autosomal dominant multiple pterygium syndrome,,dominant thalassemia,,co-dominant artery,,coronary artery right dominance,,left cardiac artery dominance,,autosomal dominant vitreoretinochoroidopathy,,hand.non-dominant,,hyperthyroidism (dominant),,hyperprolactinemia (dominant),,anxiety (dominant),,depression (dominant),,schizophrenia (dominant),,lipomas (dominant)
dominant	 Dominant
genes, dominant	 Dominant
dominant drusen	 Dominant
dominant types	 Dominant
autosomal dominant inheritance	 Dominant,, autosomal dominant
dominant side	 Dominant
dominant hand	 Dominant
dominant attachment	 Dominant
dominant inheritance	 Dominant
dominant allele	 Dominant
dominant-negative mutation	 Dominant
dominant nodule.max.dimension	 Dominant
autosomal dominant multiple pterygium syndrome	 Dominant,, autosomal dominant
dominant thalassemia	 Dominant
co-dominant artery	 Dominant
coronary artery right dominance	 Dominant
left cardiac artery dominance	 Dominant
autosomal dominant vitreoretinochoroidopathy	 Dominant
hand.non-dominant	 Dominant
hyperthyroidism (dominant)	 Dominant
hyperprolactinemia (dominant)	 Dominant
anxiety (dominant)	 Dominant
depression (dominant)	 Dominant
schizophrenia (dominant)	 Dominant
lipomas (dominant)	 Dominant
Amyotrophic lateral sclerosis type 10	amyotrophic lateral sclerosis type 10 gene anomaly detection reagents
amyotrophic lateral sclerosis type 10 gene anomaly detection reagents	Amyotrophic lateral sclerosis type 10
 TARDBP-related frontotemporal dementia	frontotemporal dementia with tdp43 inclusions, tardbp-related,,tardbp-related frontotemporal dementia gene anomaly detection reagents
frontotemporal dementia with tdp43 inclusions, tardbp-related	 TARDBP-related frontotemporal dementia,,Frontotemporal dementia
tardbp-related frontotemporal dementia gene anomaly detection reagents	 TARDBP-related frontotemporal dementia
MASP2 deficiency	masp2 deficiency
masp2 deficiency	MASP2 deficiency
Frontotemporal dementia	pick disease of the brain,,frontotemporal dementia,,other frontotemporal dementia,,frontotemporal dementia, chromosome 3-linked,,frontotemporal lobar degeneration with tdp43 inclusions, grn-related,,frontotemporal/subcortical dementia,,frontotemporal dementia, variable severity,,grn-related frontotemporal dementia,,frontotemporal dementia with parkinsonism-17,,behavioral variant of frontotemporal dementia,,a subset of patients develop frontotemporal dementia,,frontotemporal dementia with motor neuron disease,,ivd panels, human genetics, neurodegenerative disorder, dementia, frontotemporal,,amyotrophic lateral sclerosis, chmp2b-related,,amyotrophic lateral sclerosis 6 (disorder),,amyotrophic lateral sclerosis 10 (disorder),,frontotemporal dementia with pakinsonism gene mutation reagents,,frontotemporal dementia with tdp43 inclusions, tardbp-related,,amyotrophic lateral sclerosis 12,,amyotrophic lateral sclerosis 14 with or without frontotemporal dementia,,amyotrophic lateral sclerosis 15, with or without frontotemporal dementia,,frontotemporal dementia and/or amyotrophic lateral sclerosis 2,,amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,,amyotrophic lateral sclerosis 6 without frontotemporal dementia,,amyotrophic lateral sclerosis 22 without frontotemporal dementia
pick disease of the brain	Frontotemporal dementia
frontotemporal dementia	Frontotemporal dementia
other frontotemporal dementia	Frontotemporal dementia
frontotemporal dementia, chromosome 3-linked	Frontotemporal dementia
frontotemporal lobar degeneration with tdp43 inclusions, grn-related	Frontotemporal dementia
frontotemporal/subcortical dementia	Frontotemporal dementia
frontotemporal dementia, variable severity	Frontotemporal dementia
grn-related frontotemporal dementia	Frontotemporal dementia
frontotemporal dementia with parkinsonism-17	Frontotemporal dementia
behavioral variant of frontotemporal dementia	Frontotemporal dementia
a subset of patients develop frontotemporal dementia	Frontotemporal dementia
frontotemporal dementia with motor neuron disease	Frontotemporal dementia
ivd panels, human genetics, neurodegenerative disorder, dementia, frontotemporal	Frontotemporal dementia
amyotrophic lateral sclerosis, chmp2b-related	Frontotemporal dementia
amyotrophic lateral sclerosis 6 (disorder)	Frontotemporal dementia
amyotrophic lateral sclerosis 10 (disorder)	Frontotemporal dementia
frontotemporal dementia with pakinsonism gene mutation reagents	Frontotemporal dementia
amyotrophic lateral sclerosis 12	Frontotemporal dementia
amyotrophic lateral sclerosis 14 with or without frontotemporal dementia	Frontotemporal dementia
amyotrophic lateral sclerosis 15, with or without frontotemporal dementia	Frontotemporal dementia
frontotemporal dementia and/or amyotrophic lateral sclerosis 2	Frontotemporal dementia
amyotrophic lateral sclerosis 22 with or without frontotemporal dementia	Frontotemporal dementia
amyotrophic lateral sclerosis 6 without frontotemporal dementia	Frontotemporal dementia
amyotrophic lateral sclerosis 22 without frontotemporal dementia	Frontotemporal dementia
Amyotrophic Lateral Sclerosis, Dominant	amyotrophic lateral sclerosis 1,,autosomal dominant amyotrophic lateral sclerosis
amyotrophic lateral sclerosis 1	Amyotrophic Lateral Sclerosis, Dominant
autosomal dominant amyotrophic lateral sclerosis	Amyotrophic Lateral Sclerosis, Dominant
 folate-sensitive	neural tube defect, folate-sensitive,,spina bifida, folate-sensitive,,spina bifida, folate-sensitive, susceptibility to,,neural tube defects, folate-sensitive, susceptibility to
neural tube defect, folate-sensitive	 folate-sensitive,,Neural tube defects, folate-sensitive
spina bifida, folate-sensitive	 folate-sensitive
spina bifida, folate-sensitive, susceptibility to	 folate-sensitive
neural tube defects, folate-sensitive, susceptibility to	 folate-sensitive,,Neural tube defects, folate-sensitive
Homocystinuria due to MTHFR deficiency	homocystinuria due to mthfr deficiency
homocystinuria due to mthfr deficiency	Homocystinuria due to MTHFR deficiency
homocystinuria due to methylene tetrahydrofolate reductase deficiency	no results
Homocystinuria due to methylene tetrahydrofolate reductase deficiency	no results
Schizophrenia, susceptibility to	schizophrenia, susceptibility to,,schizophrenia, susceptibility to, 4,,increased susceptibility to schizophrenia,,schizophrenia, susceptibility to, 17,,schizophrenia 9, susceptibility to,,schizophrenia 1 (disorder),,schizophrenia 10,,schizophrenia 4 (disorder),,schizophrenia 12,,schizophrenia 3 (disorder),,schizophrenia 11,,schizophrenia 9,,schizophrenia 2 (disorder),,schizophrenia 8 (disorder),,schizophrenia 7 (disorder),,schizophrenia 5,,schizophrenia 6 (disorder),,schizophrenia 14,,schizophrenia 13,,schizophrenia 15,,schizophrenia 16
schizophrenia, susceptibility to	Schizophrenia, susceptibility to
schizophrenia, susceptibility to, 4	Schizophrenia, susceptibility to
increased susceptibility to schizophrenia	Schizophrenia, susceptibility to
schizophrenia, susceptibility to, 17	Schizophrenia, susceptibility to
schizophrenia 9, susceptibility to	Schizophrenia, susceptibility to
schizophrenia 1 (disorder)	Schizophrenia, susceptibility to
schizophrenia 10	Schizophrenia, susceptibility to
schizophrenia 4 (disorder)	Schizophrenia, susceptibility to
schizophrenia 12	Schizophrenia, susceptibility to
schizophrenia 3 (disorder)	Schizophrenia, susceptibility to
schizophrenia 11	Schizophrenia, susceptibility to
schizophrenia 9	Schizophrenia, susceptibility to
schizophrenia 2 (disorder)	Schizophrenia, susceptibility to
schizophrenia 8 (disorder)	Schizophrenia, susceptibility to
schizophrenia 7 (disorder)	Schizophrenia, susceptibility to
schizophrenia 5	Schizophrenia, susceptibility to
schizophrenia 6 (disorder)	Schizophrenia, susceptibility to
schizophrenia 14	Schizophrenia, susceptibility to
schizophrenia 13	Schizophrenia, susceptibility to
schizophrenia 15	Schizophrenia, susceptibility to
schizophrenia 16	Schizophrenia, susceptibility to
Gastrointestinal stroma tumor	gastrointestinal stromal tumors,,gastrointestinal stromal sarcoma
